Generation,Population 1,Population 2
76,0.17067307692307693,0.0
77,0.1738095238095238,0.0
78,0.1792452830188679,0.0
79,0.16355140186915887,0.0
80,0.21728971962616822,0.0
81,0.18287037037037038,0.0
82,0.1705607476635514,0.0
83,0.19036697247706422,0.0
84,0.16972477064220184,0.0
85,0.2,0.0
86,0.16666666666666666,0.0
87,0.18080357142857142,0.0
88,0.17920353982300885,0.0
89,0.16228070175438597,0.0
90,0.21521739130434783,0.0
91,0.20043103448275862,0.0
92,0.202991452991453,0.25
93,0.19703389830508475,0.25
94,0.21008403361344538,0.0
95,0.2125,0.0
96,0.20208333333333334,0.0
97,0.17355371900826447,0.0
98,0.18032786885245902,0.0
99,0.18902439024390244,0.0
100,0.20081967213114754,0.0
101,0.1532258064516129,0.0
102,0.176,0.0
103,0.1746031746031746,0.0
104,0.16338582677165353,0.0
105,0.1865079365079365,0.0
106,0.16141732283464566,0.0
107,0.1673228346456693,0.0
108,0.173828125,0.0
109,0.21705426356589147,0.0
110,0.1326923076923077,0.0
111,0.19038461538461537,0.0
112,0.14885496183206107,0.0
113,0.1875,0.0
114,0.19172932330827067,0.0
115,0.19402985074626866,0.0
116,0.14814814814814814,0.0
117,0.20036764705882354,0.0
118,0.18065693430656934,0.0
119,0.18115942028985507,0.0
120,0.18659420289855072,0.25
121,0.1474820143884892,0.0
122,0.1625,0.0
123,0.15780141843971632,0.0
124,0.14612676056338028,0.0
125,0.18181818181818182,0.0
126,0.16493055555555555,0.0
127,0.15034965034965034,0.0
128,0.18229166666666666,0.25
129,0.18006993006993008,0.0
130,0.18055555555555555,0.0
131,0.16783216783216784,0.0
132,0.140625,0.0
133,0.16666666666666666,0.25
134,0.15344827586206897,0.0
135,0.14726027397260275,0.0
136,0.1541095890410959,0.0
137,0.14965986394557823,0.0
138,0.15878378378378377,0.0
139,0.18412162162162163,0.0
140,0.19932432432432431,0.25
141,0.16946308724832215,0.0
142,0.17833333333333334,0.0
143,0.1672185430463576,0.0
144,0.14967105263157895,0.0
145,0.19934640522875818,0.0
146,0.16233766233766234,0.0
147,0.17258064516129032,0.0
148,0.15865384615384615,0.0
149,0.1870967741935484,0.125
150,0.18471337579617833,0.0
151,0.185126582278481,0.0
152,0.18396226415094338,0.0
153,0.17767295597484276,0.0
154,0.15566037735849056,0.0
155,0.18238993710691823,0.0
156,0.16981132075471697,0.0
157,0.1792452830188679,0.0
158,0.1890625,0.0
159,0.17080745341614906,0.0
160,0.19875776397515527,0.0
161,0.1743827160493827,0.0
162,0.22067901234567902,0.0
163,0.21604938271604937,0.0
164,0.1901840490797546,0.0
165,0.18902439024390244,0.0
166,0.15303030303030302,0.0
167,0.20933734939759036,0.0
168,0.16467065868263472,0.0
169,0.18898809523809523,0.0
170,0.15419161676646706,0.0
171,0.16666666666666666,0.0
172,0.15828402366863906,0.0
173,0.17058823529411765,0.0
174,0.1476608187134503,0.0
175,0.17543859649122806,0.0
176,0.1555232558139535,0.0
177,0.15606936416184972,0.0
178,0.1676300578034682,0.0
179,0.18641618497109827,0.0
180,0.16329479768786126,0.0
181,0.1839080459770115,0.0
182,0.17485549132947978,0.0
183,0.16618497109826588,0.0
184,0.16810344827586207,0.0
185,0.1457142857142857,0.0
186,0.17897727272727273,0.0
187,0.14689265536723164,0.0
188,0.16807909604519775,0.25
189,0.19241573033707865,0.0
190,0.1717877094972067,0.0
191,0.18472222222222223,0.0
192,0.15138888888888888,0.25
193,0.20694444444444443,0.0
194,0.19722222222222222,0.25
195,0.16527777777777777,0.0
196,0.19722222222222222,0.0
197,0.1986111111111111,0.0
198,0.18922651933701656,0.0
199,0.15384615384615385,0.0
200,0.18169398907103826,0.0
